Title,URL,Datetime,Summary
Flipkart suspends services due to lockdown,https://news.google.com/articles/CAIiEK9BfkjN7X4rtpwx-5bxz88qGQgEKhAIACoHCAowlbCPCzCrzaIDMLL1zQY?hl=en-IN&gl=IN&ceid=IN%3Aen,,"Walmart Inc's Flipkart has suspended services, a notice on the Indian e-commerce firm's website said on Wednesday, as India began a 21-day lockdown to fight the spread of the coronavirus pandemic.
Flipkart's move came after rival Amazon India said on Tuesday it will halt orders for non-essential products in India to prioritize customers critical needs, and focus on supplying essentials."
Facebook Wanted to Buy 10% of Reliance Jio: Report,https://news.google.com/articles/CAIiEIkIeEIbq5GTw8iy7mUFTwEqGQgEKhAIACoHCAowgubcCjC2gc8BMJbFxQY?hl=en-IN&gl=IN&ceid=IN%3Aen,,"Facebook was reportedly in talks with Reliance Jio to purchase 10% of the Indian telco, according to a report in the Financial Times.
The report also added that aside from the social media giant, Reliance Jio was also in separate talks with Google.
As per the FT report (paywall), Facebook and Reliance Jio had been in talks which only halted recently owing to global travel bans because of the coronavirus outbreak, according to two people familiar with the matter.
Reliance Jio soft launched in 2015, but started its public operations in 2016.
For companies like Facebook, Jio could represent a doorway into India and also into a market with complex regulatory challenges — something that a large local player like Reliance has a greater degree of insight into."
"MARKET LIVE: Sensex slips 200 pts; Nifty Bank slips over 2%, RIL up 6%",https://news.google.com/articles/CAIiEH1hc5htXEnEwY9OJnetazgqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?hl=en-IN&gl=IN&ceid=IN%3Aen,,Type address separated by commasYour Email:
"Trucks stuck, rail staff stopped, online delivery staff assaulted: Essential supplies hit hurdle",https://news.google.com/articles/CAIiEETCEQx0db4CkJa0UaOOLqEqGAgEKg8IACoHCAow3rvTBDD89X4wyN7OBg?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-03-25 07:39:42+05:30,"A senior Big Basket official told The Indian Express police had stopped their logistics partners across the country.
Trucks are being stopped at inter-state borders,” he told The Indian Express.
The Grofers CEO told The Indian Express they had a backlog of over 2.6 lakh orders.
The number of freight trains being run is already lower than usual in the current demand scenario.
📣 The Indian Express is now on Telegram."
"Don’t panic, stay invested: What to keep in mind for your money during Covid-19 outbreak",https://news.google.com/articles/CAIiEByXwCU9XqCsHXU5_9C63XcqFggEKg4IACoGCAoww7k_MMevCDDE2QE?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-03-25 09:00:51+05:30,"Undeniably, equity market across the globe were overvalued not so long ago.
Given this unknown, the extent of the market correction too remains unclear.
Ideally, there needs be no change in long-term equity investments; historical data shows that the time and pace of recovery, just like that of a slump cannot be predicted.
The market correction can carry on for longer than people think; in the 2008 market correction, the bottom was hit three times.
In an economy driven by credit, there are many who have housing loans, car loans and even loans for consumer durables."
"Sensex, Nifty rebound; govt measures to aid coronavirus-hit economy, lend much-needed boost to markets",https://news.google.com/articles/CAIiEMVIp06ZbJ-q8e2oun_pxz0qGAgEKg8IACoHCAow5v6PATDrwA8wleW5Bg?hl=en-IN&gl=IN&ceid=IN%3Aen,,"After gyrating 1,823.97 points, the BSE barometer gave up some gains to end 692.79 points or 2.67 percent higher at 26,674.03.
Other major gainers included Bajaj Finance, Hindustan Unilever, Maruti, HCL Tech, Reliance Industries, Nestle India, ICICI Bank, Kotak Bank, Titan, Asian Paints and Sun Pharma.
On Monday, the Sensex crashed 3,935 points or 13.15 percent to 25,981 while the Nifty 50 tumbled by 1,135 points or 12.88 percent to 7,610.
Both Nifty 50 and Nifty bank witnessed their biggest fall in absolute terms in the previous session.
Both Sensex and Nifty staged a sharp recovery after reports of possible announcement of an economic stimulus package by Sitharaman in the afternoon."
Stocks rally in Asia; US equity futures drop,https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvc3RvY2stbWFya2V0LW5ld3Mvc3RvY2tzLXJhbGx5LWluLWFzaWEtdXMtZXF1aXR5LWZ1dHVyZXMtZHJvcC0xMTU4NTEwMTA0NDAwMS5odG1s0gF1aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy9zdG9ja3MtcmFsbHktaW4tYXNpYS11cy1lcXVpdHktZnV0dXJlcy1kcm9wL2FtcC0xMTU4NTEwMTA0NDAwMS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-03-25 07:26:06+05:30,"Stocks in Asia rallied after the best session for U.S. stocks in almost a dozen years, with investors rediscovering some appetite for risk as Congress negotiates an emergency-spending bill.
These are the main moves in markets:StocksJapan’s Topix index rose 5% as of 10:25 a.m. in Tokyo.
S&P 500 futures fell 0.6%.
Hong Kong’s Hang Seng index rose 2.6%.
Australia’s 10-year bond yield rose eight basis points to 0.97%."
"Gold price hits Rs 42,000 per 10 gram, silver up by Rs 3,475 per kg",https://news.google.com/articles/CBMigQFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvY29tbW9kaXRpZXMvZ29sZC1wcmljZS10b3BzLXJzLTQyMDAwLXBlci0xMC1ncmFtLXNpbHZlci11cC1ycy0zNDc1LXBlci1rZy01MDY4NzgxLmh0bWzSAYUBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL2NvbW1vZGl0aWVzL2dvbGQtcHJpY2UtdG9wcy1ycy00MjAwMC1wZXItMTAtZ3JhbS1zaWx2ZXItdXAtcnMtMzQ3NS1wZXIta2ctNTA2ODc4MS5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,,"The rate of 10 gram 22-carat gold in Mumbai was Rs 38,698 plus 3 percent GST, while 24-carat 10 gram was Rs 42,247 plus GST.
Silver prices rose Rs 3,475 to Rs 40,325 per kg from its closing on March 23.
Gold contracts for June delivery rose Rs 894, or 2.15 percent, at Rs 42,551 per 10 gram in a business turnover of 14,516 lots.
Gold price is trading under rising trend line channel, and the price is expected to trade positive.
MCX Gold has intraday support at Rs 41,065-40,920 whereas resistance is placed at Rs 41,935-42,150 levels, according to Motilal Oswal."
Dow soars over 11% in strongest one-day performance since 1933,https://news.google.com/articles/CAIiEJuSS-q5IrJuU54nLAfr4x8qGQgEKhAIACoHCAow2pqGCzD954MDMMLNigY?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-03-25 06:16:00+00:00,"""With all of this stimulus, we just need a catalyst to spark the fire,"" Lip said.
""That spark will be a peaking of the cases, and when it starts to come down, I think that's when everything gets lit up.
""We don't know how long it's going to take to peak.
So all of those uncertainties are causing a myriad of aftershocks,"" said Nancy Perez, senior portfolio manager at Boston Private Wealth in Miami.The Dow Jones Industrial Average soared 11.37% to end at 20,704.91 points, while the S&P 500 jumped 9.38% to 2,447.33.
The Nasdaq Composite rallied 8.12% to 7,417.86.The S&P energy index jumped 16.3%."
"Telcos write to DoT, TRAI suggesting free access for users to critical websites",https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LnRoZW5ld3NtaW51dGUuY29tL2FydGljbGUvdGVsY29zLXdyaXRlLWRvdC10cmFpLXN1Z2dlc3RpbmctZnJlZS1hY2Nlc3MtdXNlcnMtY3JpdGljYWwtd2Vic2l0ZXMtMTIxMDU10gF1aHR0cHM6Ly93d3cudGhlbmV3c21pbnV0ZS5jb20vYXJ0aWNsZS90ZWxjb3Mtd3JpdGUtZG90LXRyYWktc3VnZ2VzdGluZy1mcmVlLWFjY2Vzcy11c2Vycy1jcml0aWNhbC13ZWJzaXRlcy0xMjEwNTU_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-03-24 23:18:25+05:30,"Telcos write to DoT, TRAI suggesting free access for users to critical websitesAmid the coronavirus pandemic, the Cellular Operators Association of India (COAI) has requested that users not be charged for the data usage.
There are only three companies currently offering telecom services in the country, Bharti Airtel, Vodafone Idea and Reliance Jio.
The body representing these three operators, the Cellular Operators Association of India (COAI) has sent this communication to the Department of Telecommunications (DoT) as well as to the Telecom Regulatory Authority of India (TRAI).
The background behind this letter to the DoT and TRAI is that TRAI does not permit the telecom operators to charge discriminatory rates for data usage.
It is now for the DoT and TRAI to take a call on this suggestion from the industry players themselves."
